Date,Open,High,Low,Close
2024-10-18,67080.7,68993.1,67080.7,68585.2
2024-10-21,68779.5,69488.3,66806,67786.4
2024-10-22,67771.7,67851.3,66545.1,67486.4
2024-10-23,67484.5,67785.1,65177.1,66343.7
2024-10-24,66343.7,68801.3,66278.7,68306.4
2024-10-25,68306.4,68726.1,65873.5,66786.4
2024-10-28,68030.4,70192.1,67522.4,69912.9
2024-10-29,69920.7,73605.7,69694.1,72616.8
2024-10-30,72637.9,72930.9,71409.6,72374.6
2024-10-31,72363,72677.5,69586.5,70371.9
2024-11-01,70368.5,71587,68763.9,69192.6
2024-11-04,68848.7,69456.5,66787.7,67885.4
2024-11-05,67896.9,70523.3,67433.1,69586
2024-11-06,69586,76467.2,69287.5,75684.1
2024-11-07,75684.1,76934.9,74460.7,75908.2
2024-11-08,75908.2,77264.8,75640.6,76677.7
2024-11-11,80588.6,88465.8,80019.8,88143.7
2024-11-12,88080.1,90018.7,85138.9,88638.3
2024-11-13,88650.1,93470.1,86245.5,89785.1
2024-11-14,89791.5,91800.3,87035.2,87718.5
2024-11-15,87647.7,91497.1,86672.3,91283.3
2024-11-18,89503.8,92601.1,89336.7,91239.2
2024-11-19,91230,94007,90310.5,91942.1
2024-11-20,91942.1,94900,91631.3,94225.8
2024-11-21,94225.8,99047.1,93841.2,98427.1
2024-11-22,98441.6,99668.1,97198.7,99189.6
2024-11-25,98092.1,98960.9,92588.3,94373.4
2024-11-26,94373.4,94992,90771.2,91754.9
2024-11-27,91731.3,97354.8,91570.8,96132.5
2024-11-28,96143.6,96658.5,94667.3,95650.7
2024-11-29,95657.1,98716.6,95374.3,97373.8
2024-12-02,97647.6,98188.4,94400.1,95406.1
2024-12-03,95378.8,96310.3,93601.4,96151
2024-12-04,96180.6,99213.2,94670,98312.9
2024-12-05,98312.9,104061,93083.8,96737.9
2024-12-06,96741.7,102079,95606.8,101517
2024-12-09,100289,101406,94879.3,96993.2
2024-12-10,96993.2,98284.9,94311.1,96898.2
2024-12-11,96897.3,101951,95714.8,101252
2024-12-12,101259,102541,99329.5,100467
2024-12-13,100484,101903,99223,101631
2024-12-16,103229,107809,103229,105844
2024-12-17,105844,108323,105346,105982
2024-12-18,105962,106481,100237,101110
2024-12-19,101091,102746,95581.2,98219.2
2024-12-20,98222.1,98271.4,92159.9,96413.4
2024-12-23,95402.5,96426.4,92386.4,95049.8
2024-12-24,95074.2,99423.3,93435.2,98705.9
2024-12-26,98771.2,99843.2,95097.7,95708.4
2024-12-27,95707.5,97234.6,93343.6,94500
2024-12-30,93060.4,94918,91309.1,92611.4
2024-12-31,92617.4,96105.7,91901.6,93315.7
2025-01-02,94606.4,97735.4,94200,96812.9
